Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion
Focused,0.1,gbsg,10,,0.0810169491525423,11.072129214051609,
Focused,0.1,gbsg,11,,0.0810169491525423,11.13380054799424,
Focused,0.1,gbsg,12,,0.0835593220338983,11.778201364581788,
Focused,0.1,gbsg,13,,0.0861016949152542,11.268725649038291,
Focused,0.1,gbsg,14,,0.0835593220338983,11.587831866071213,
Focused,0.1,gbsg,15,,0.0886440677966101,12.353245499854792,
Focused,0.1,gbsg,16,,0.0810169491525423,11.01281588936445,
Focused,0.1,gbsg,17,,0.0835593220338983,11.778799134737632,
Focused,0.1,gbsg,18,,0.0835593220338983,11.342330197383784,
Focused,0.1,gbsg,19,,0.0810169491525423,11.080045314417376,
Focused,0.1,gbsg,20,,0.0861016949152542,11.415428082928395,
Focused,0.1,gbsg,21,,0.0886440677966101,12.189606149147696,
Focused,0.1,gbsg,22,,0.0886440677966101,11.785799775009464,
Focused,0.1,gbsg,23,,0.0835593220338983,11.537894607574916,
Focused,0.1,gbsg,24,,0.0835593220338983,11.399522515959124,
Fused,0.1,tcga,0,,-3.96728813559322,11.246478524232085,
Fused,0.1,tcga,1,,-3.96728813559322,11.246478524232085,
Fused,0.1,tcga,2,,-3.9800000000000004,7.378757723451981,
Fused,0.1,tcga,3,,-3.9800000000000004,7.378757723451981,
Fused,0.1,tcga,4,,-3.9800000000000004,8.483294007296587,
Fused,0.1,tcga,5,,-3.9800000000000004,8.483294007296587,
Fused,0.1,tcga,6,,-3.9800000000000004,8.83514256748274,
Fused,0.1,tcga,7,,-3.9800000000000004,8.83514256748274,
Fused,0.1,tcga,8,,-3.9800000000000004,12.269632928733671,
Fused,0.1,tcga,9,,-3.9800000000000004,12.269632928733671,
Fused,0.1,tcga,10,,-3.9800000000000004,12.431759466991167,
Fused,0.1,tcga,11,,-3.9800000000000004,12.431759466991167,
Fused,0.1,tcga,12,,-3.9800000000000004,16.75158094183221,
Fused,0.1,tcga,13,,-3.9800000000000004,16.75158094183221,
Fused,0.1,tcga,14,,-3.9800000000000004,23.652491045265666,
Fused,0.1,tcga,15,,-3.9800000000000004,23.652491045265666,
Fused,0.1,tcga,16,,-3.9800000000000004,11.786496466095015,
Fused,0.1,tcga,17,,-3.9800000000000004,11.786496466095015,
Fused,0.1,tcga,18,,-3.9800000000000004,13.122977555813318,
Fused,0.1,tcga,19,,-3.9800000000000004,13.122977555813318,
Fused,0.1,tcga,20,,-3.9800000000000004,11.099443021025568,
Fused,0.1,tcga,21,,-3.9800000000000004,11.099443021025568,
Fused,0.1,tcga,22,,-3.9800000000000004,13.008972019479966,
Fused,0.1,tcga,23,,-3.9800000000000004,13.008972019479966,
Fused,0.1,tcga,24,,-3.9800000000000004,14.099854071806394,
Fused,0.1,support,0,,0.093728813559322,8.647593491097789,1.0
Fused,0.1,support,1,,0.093728813559322,9.129665274926989,1.0
Fused,0.1,support,2,,0.0988135593220339,9.698616186030169,1.0
Fused,0.1,support,3,,0.093728813559322,9.281149074809782,1.0
Fused,0.1,support,4,,0.0962711864406779,9.120629777194958,1.0
Fused,0.1,support,5,,0.093728813559322,8.83929643278427,1.0
Fused,0.1,support,6,,0.0962711864406779,8.601173411874365,1.0
Fused,0.1,support,7,,0.0988135593220339,9.647755659754434,1.0
Fused,0.1,support,8,,0.093728813559322,8.877957767307612,1.0
Fused,0.1,support,9,,0.0962711864406779,9.40158944962442,1.0
Fused,0.1,support,10,,0.1013559322033898,8.867458455300037,1.0
Fused,0.1,support,11,,0.0988135593220339,10.3184598946784,1.0
Fused,0.1,support,12,,0.1013559322033898,10.49844643531722,1.0
Fused,0.1,support,13,,0.1013559322033898,9.596841961233986,1.0
Fused,0.1,support,14,,0.0962711864406779,9.702275582683564,1.0
Fused,0.1,support,15,,0.0988135593220339,9.507315926466053,1.0
Fused,0.1,support,16,,0.093728813559322,9.624002115233838,1.0
Fused,0.1,support,17,,0.1013559322033898,10.307615603422589,1.0
Fused,0.1,support,18,,0.1013559322033898,9.428266124775975,1.0
Fused,0.1,support,19,,0.1013559322033898,9.40776034020578,1.0
Fused,0.1,support,20,,0.0962711864406779,9.542521496758877,1.0
Fused,0.1,support,21,,0.0962711864406779,9.36015498874234,1.0
Fused,0.1,support,22,,0.0962711864406779,9.35790030664775,1.0
Fused,0.1,support,23,,0.0988135593220339,9.09603154572448,1.0
Fused,0.1,support,24,,0.0988135593220339,9.600097501052948,1.0
Fused,0.1,metabric,0,,0.0733898305084745,28.8033081346172,1.0
Fused,0.1,metabric,1,,0.0632203389830508,29.074043826424,1.0
Fused,0.1,metabric,2,,0.0733898305084745,30.51847565876725,1.0
Fused,0.1,metabric,3,,0.0683050847457627,27.594106930498377,1.0
Fused,0.1,metabric,4,,0.0835593220338983,30.371026873330106,1.0
Fused,0.1,metabric,5,,0.0733898305084745,30.066497718954786,1.0
Fused,0.1,metabric,6,,0.0708474576271186,30.973989442132652,1.0
Fused,0.1,metabric,7,,0.0810169491525423,31.01633138786862,1.0
Fused,0.1,metabric,8,,0.0759322033898305,30.770471514501505,1.0
Fused,0.1,metabric,9,,0.0632203389830508,29.74778741762416,1.0
Fused,0.1,metabric,10,,0.0683050847457627,29.3966550161786,1.0
Fused,0.1,metabric,11,,0.0759322033898305,29.35718173166156,1.0
Fused,0.1,metabric,12,,0.0759322033898305,29.394563417679464,1.0
Fused,0.1,metabric,13,,0.0632203389830508,29.538780625825023,1.0
Fused,0.1,metabric,14,,0.0657627118644067,29.693862271922985,1.0
Fused,0.1,metabric,15,,0.0657627118644067,29.81410139650497,1.0
Fused,0.1,metabric,16,,0.0810169491525423,31.114141681126338,1.0
Fused,0.1,metabric,17,,0.0606779661016949,28.84058155034731,1.0
Fused,0.1,metabric,18,,0.0632203389830508,29.617093893577312,1.0
Fused,0.1,metabric,19,,0.0784745762711864,30.002723525498418,1.0
Fused,0.1,metabric,20,,0.0657627118644067,29.29914746156176,1.0
Fused,0.1,metabric,21,,0.0810169491525423,30.22298659526018,1.0
Fused,0.1,metabric,22,,0.0683050847457627,30.370216815838717,1.0
Fused,0.1,metabric,23,,0.0606779661016949,28.40846786263925,1.0
Fused,0.1,metabric,24,,0.0657627118644067,30.313502690457383,1.0
Fused,0.1,churn,0,,0.1064406779661017,39.76234674517923,0.0
Fused,0.1,churn,1,,0.1089830508474576,30.81739064872833,0.0
Fused,0.1,churn,2,,0.1038983050847457,477.539156338412,0.0
Fused,0.1,churn,3,,0.0962711864406779,103.17351078151094,0.0
Fused,0.1,churn,4,,0.1013559322033898,2906.9674807113324,0.0
Fused,0.1,churn,5,,0.1140677966101695,79.59992760172558,0.0
Fused,0.1,churn,6,,0.0988135593220339,273.1652143517587,0.0
Fused,0.1,churn,7,,0.0988135593220339,137.430658214207,0.0
Fused,0.1,churn,8,,0.0988135593220339,49.60944760306104,0.0
Fused,0.1,churn,9,,0.0759322033898305,444.2255297379496,0.0
Fused,0.1,churn,10,,0.1064406779661017,138.84223472011894,0.0
Fused,0.1,churn,11,,0.1064406779661017,95.39562501651844,0.0
Fused,0.1,churn,12,,0.1064406779661017,521.6819959830605,0.0
Fused,0.1,churn,13,,0.0733898305084745,155.52706866948,0.0
Fused,0.1,churn,14,,0.1013559322033898,1837.0084437731805,0.0
Fused,0.1,churn,15,,0.0733898305084745,1697.014598778891,0.0
Fused,0.1,churn,16,,0.1115254237288135,49.98452498985408,0.0
Fused,0.1,churn,17,,0.1064406779661017,9746.410195600103,0.0
Fused,0.1,churn,18,,0.0759322033898305,200.1079873709564,0.0
Fused,0.1,churn,19,,0.1013559322033898,2229.7320674741645,0.0
Fused,0.1,churn,20,,0.0911864406779661,191.79950919816147,0.0
Fused,0.1,churn,21,,0.0962711864406779,473.0583710328886,0.0
Fused,0.1,churn,22,,0.093728813559322,145.9508747062675,0.0
Fused,0.1,churn,23,,0.1013559322033898,166.59029262917144,0.0
Fused,0.1,churn,24,,0.0911864406779661,382.4477552892912,0.0
Fused,0.1,tcga,0,,-3.9800000000000004,14.099854071806394,
